CMSL#,District,Trade Class,Active?,Location Name,Brand Code,Phone,Fax,Physical Address 1,Physical Address 2,City,Province,PostCode,Open 24 hours?,opens,closes,Food Store?,Restaurant?,Service Station?,No.of bays,Carwash?,Carwash Type 1,Carwash Type 2,Truckwash?,Travel Stop?,Cardlock Type,ATM Banking?,SaniDump?,Showers?,Trucker Lounge?,Weigh-Scale?,Laundry?,Lottery?,Used Oil Depot?,Tire Repair?,Diesel?,Gasoline?,Ethanol?,Propane?,NGV?,Division,ALT-cd,System,MS-cd,Husky Market?,Pay@Pump?,Propane Tank Exchange?,Cust-no,Acc.Type,Site Terms,Tank Terms,Reseller id #,Excemption License #,Rent Terms,MeterProducts,ss-commission,fs-commission,cl-commission,SiteProducts,Latitude, Longitude,Motorists with Disabilities?,Bulk DEF
351,106,SSERV,yes,ATHABASCA HUSKY MARKET,HUSKY,(780)675-2112,(780)675-2103,ATHABASCA HUSKY MARKET,4902 50 AVE,ATHABASCA,AB,T9S 1H4,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,1,ALT04,no,MS007,yes,yes,yes,667088,R1,E30,CONS,862389624RT,,ERNT,131;173;174;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,131;173;174;175;,54.721214,-113.285057,yes,no
355,223,SSERV,yes,KING ST HUSKY,HUSKY,(905)664-1557,(905)664-1557,KING ST HUSKY,102 KING ST W,STONEY CREEK,ON,L8G 1J2,yes,,,yes,no,yes,3,yes,Wand Wash,,no,no,,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,2,ALT04,no,MS020,no,yes,yes,667993,R7,E30,CONS,775482920RT1,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.21972,-79.767788,yes,no
356,352,SSERV,no,MIKES MART STORE 104,HUSKY,(807)597-6678,(416)609-7161,MIKES MART STORE 104,137 BURNS ST,ATIKOKAN,ON,P0T 1C0,yes,,,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,?,no,no,no,no,no,no,no,3,ALT09,yes,MS011,no,?,no,176115,R4,30,,,EXEMPT,,,,,,,48.756204,-91.596497,yes,no
404,223,SSERV,yes,DUNDAS E HUSKY,HUSKY,(905)689-3316,             ,DUNDAS E HUSKY,271 DUNDAS ST E,WATERDOWN,ON,L0R 2H0,no,600,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,2,ALT04,no,MS021,no,yes,yes,667919,R7,E30,CONS,803936335RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.33111,-79.896111,yes,no
421,223,SSERV,yes,MT FOREST HUSKY,HUSKY,(905)319-0921,             ,MT FOREST HUSKY,1326 GUELPH LINE,BURLINGTON,ON,L7P 2S9,no,600,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,2,ALT04,no,MS021,no,yes,yes,667919,R7,E30,CONS,803936335RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.35944,-79.81472,yes,no
427,352,SSERV,no,HUSKY SERVICE BANFF,HUSKY,(403)762-3341,(403)762-2346,HUSKY SERVICE BANFF,601 BANFF AVE,BANFF,AB,T1L 1A2,no,700,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,3,ALT05,no,MS007,no,yes,yes,438044,R7,CC,,R121465504,,ERNT,,,,,,51.172277,-115.562011,yes,no
435,223,SSERV,yes,CEDARWOOD HUSKY,HUSKY,(905)333-9701,(905)333-9701,CEDARWOOD HUSKY,559 PLAINS RD E,BURLINGTON,ON,L7T 2E4,no,700,2200,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,2,ALT04,no,MS021,no,yes,yes,667919,R7,E30,CONS,803936335RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.321057,-79.8343422,yes,no
470,349,SSERV,yes,LONDON HUSKY TC,HUSKY,(519)644-0200,(519)644-0352,LONDON HUSKY TC,HWY 401 & 74 ,BELMONT,ON,N0L 1B0,yes,,,yes,yes,no,,no,,,no,yes,Husky Route Commander,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS010,yes,yes,no,667415,R8,E30,CONS,838796464RT,9396-5729,ERNT,104;131;173;175;9131;,; 0.70;;; 0.70;, 0.70; 0.70; 0.70; 0.70;;,; 1.00;;; 1.00;,104;131;173;175;9131;,42.945039,-81.107591,no,no
471,349,SSERV,yes,LONDON HH,HUSKY,(519)644-0200,(519)644-0352,LONDON HH,HWY 401 & 74,BELMONT,ON,N0L 1B0,yes,,,yes,yes,no,,no,,,no,yes,Husky Route Commander,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS010,yes,yes,no,667415,R8,E30,,838796464RT,9396-5729,ERNT,,,,,,0,0,no,no
473,223,SSERV,yes,SPEERS HUSKY,HUSKY,(905)469-0211,(905)469-0211,SPEERS HUSKY,625 THIRD LINE,OAKVILLE,ON,L6L 4A8,yes,,,yes,no,no,,yes,Brush/Softcloth,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,2,ALT04,no,MS010,no,yes,no,667919,R7,E30,CONS,803936335RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.41889,-79.716677,yes,no
503,DAS,INCOM,no,OLD SPEEDWAY BP,HUSKY,(780)435-3611,             ,OLD SPEEDWAY BP,6211 104 ST,EDMONTON,AB,T6H 2K8,yes,,,no,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,?,no,2,ALT09,yes,MS002,no,no,no,884841,R6,DUEN,,,,ERNT,,,,,,53.500443,-113.4966022,yes,no
569,347,SSERV,yes,BLUE RIVER HUSKY TC,HUSKY,(250)673-8221,(250)673-8209,BLUE RIVER HUSKY TC,HWY 5 S,BLUE RIVER,BC,V0E 1J0,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,3,ALT01,no,MS006,no,yes,no,667767,R7,E30,,842791105RT,,,,,,,,0,0,no,no
570,347,SSERV,yes,BLUE RIVER HUSKY TC,HUSKY,(250)673-8221,(250)673-8209,BLUE RIVER HUSKY TC,778 HWY 5 ,BLUE RIVER,BC,V0E 1J0,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,3,ALT01,no,MS006,no,yes,no,667767,R7,E30,CONS,842791105RT,,ERNT,104;131;173;175;9131;,;;;;;, 0.70; 0.70; 0.70; 0.70; 0.70;,; 1.00;;; 1.00;,104;131;173;175;9131;,52.103737,-119.310128,no,no
588,223,SSERV,yes,STEELES HUSKY,HUSKY,(905)457-1918,(905)453-5837,STEELES HUSKY,7998 DIXIE RD,BRAMPTON,ON,L6T 4K7,yes,,,yes,no,no,,yes,Touchless,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,2,ALT04,no,MS024,no,yes,no,668011,R7,E30,CONS,837029545RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.69472,-79.701399,yes,no
590,223,SSERV,yes,RAMBLER HUSKY,HUSKY,(905)451-6815,(905)451-6815,RAMBLER HUSKY,253 KENNEDY RD S,BRAMPTON,ON,L6W 3H1,no,600,2100,yes,no,yes,4,no,,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT04,no,MS024,no,no,no,668011,R7,E30,CONS,837029545RT,,ERNT,104;131;173;175;, 1.00; 1.00; 1.00; 1.00;,;;;;,;;;;,104;131;173;175;,43.67889,-79.728066,yes,no
627,223,SSERV,yes,TORBRAM HUSKY,HUSKY,(905)791-6710,(905)790-3649,TORBRAM HUSKY,2182 QUEEN ST E,BRAMPTON,ON,L6S 4G9,yes,,,yes,no,no,,yes,Touchless,,no,no,,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,668011,R7,E30,CONS,837029545RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.73389,-79.707788,yes,no
654,224,SSERV,yes,N RUTHERFORD HUSKY,HUSKY,(905)832-5600,             ,N RUTHERFORD HUSKY,9332 KEELE ST,MAPLE,ON,L6A 1P4,yes,,,yes,no,no,,yes,Touchless,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,667894,R8,E30,CONS,819961939RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.83889,-79.509444,yes,no
673,223,SSERV,yes,KIPLING HUSKY,HUSKY,(905)850-3181,             ,KIPLING HUSKY,5260 HWY 7 W,WOODBRIDGE,ON,L4L 1T3,no,600,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,2,ALT04,no,MS010,no,yes,no,668011,R7,E30,CONS,837029545RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,43.77889,-79.597788,yes,no
677,224,SSERV,yes,N CREDITSTONE HUSKY,HUSKY,(905)669-0041,(905)669-5297,N CREDITSTONE HUSKY,2757 HWY 7 ,CONCORD,ON,L4K 1V9,no,600,2200,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,2,ALT04,no,MS010,no,no,yes,667894,R8,E30,CONS,819961939RT,,ERNT,104;131;173;175;, 1.00; 1.00; 1.00; 1.00;,;;;;,;;;;,104;131;173;175;,43.79583,-79.515833,yes,no
689,224,SSERV,yes,CLARKE HUSKY,HUSKY,(905)882-6351,(905)887-0040,CLARKE HUSKY,7377 YONGE ST,MARKHAM,ON,L3T 2B4,yes,,,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,667894,R8,PREPAY,CONS,819961939RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.80722,-79.421944,yes,no
700,349,SSERV,yes,BRADFORD HUSKY TC,HUSKY,(905)775-3831,(905)775-3068,BRADFORD HUSKY TC,1-3479 HWY 88,BRADFORD,ON,L3Z 2B2,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS010,no,yes,no,667718,R8,E30,CONS,806846002RT,,ERNT,104;131;173;175;9131;,; 0.70;;; 0.70;, 0.70; 0.70; 0.70; 0.70;;,; 1.00;;; 1.00;,104;131;173;175;9131;,44.099975,-79.62676,no,no
701,349,SSERV,yes,BRADFORD HH,HUSKY,(905)775-3831,(905)775-3068,BRADFORD HH,HWY 400 & 88,BRADFORD,ON,L3Z 2B2,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS010,no,yes,no,667718,R8,E30,,806846002RT,,ERNT,,,,,,44.09837065,-79.62712747,no,no
705,106,SSERV,yes,BON ACCORD HUSKY/MAC'S,HUSKY,(780)921-2280,(416)609-7161,BON ACCORD HUSKY/MAC'S,5008 47 AVE,BON ACCORD,AB,T0A 0K0,yes,,,yes,no,no,,no,,,no,no,,no,?,no,no,no,no,yes,no,no,yes,yes,yes,no,no,1,ALT04,yes,MS007,no,yes,no,940734,R4,30,15,104855408RT,,,,,,,131;154;174;175;,53.832903,-113.412423,yes,no
710,352,FSERV,no,BRAGG CREEK HUSKY,HUSKY,(403)949-3525,(403)282-6548,BRAGG CREEK HUSKY,5 BALSAM AVE,BRAGG CREEK,AB,T0L 0K0,no,600,2100,yes,no,yes,3,no,,,no,no,,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,3,ALT09,yes,MS007,no,no,yes,667537,R4,CC,,,,,,,,,,50.936312,-114.617611,yes,no
712,220,SSERV,yes,BROOKS HUSKY/RED BASKET,HUSKY,(403)362-5985,(403)362-2142,BROOKS HUSKY/RED BASKET,1320 2A ST,BROOKS,AB,T1R 0V5,yes,,,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,2,ALT04,yes,MS007,no,no,yes,991612,R7,ECOD,ECOD,819452459RT,,,105;131;,;;, 2.40; 2.40;,;;,105;131;,50.58556,-111.896398,yes,no
717,224,SSERV,yes,MARKHAM HUSKY,HUSKY,(905)471-1609,(905)887-0040,MARKHAM HUSKY,5 MAIN ST N HWY 7,MARKHAM,ON,L3P 1X3,no,600,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,667901,R8,E30,CONS,849093638RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.873974,-79.259768,yes,no
731,342,SSERV,yes,BRANDON HUSKY TC,HUSKY,(204)728-7387,(204)735-1342,BRANDON HUSKY TC,1990 18 ST N,BRANDON,MB,R7C 1A3,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS009,no,yes,no,667911,R7,E30,CONS,843194473RT,,ERNT,131;164;173;174;175;, 0.70;;;;;, 0.70; 0.70; 0.70; 0.70; 0.70;, 1.00; 1.00;;;;,131;164;173;174;175;,49.88667,-99.962784,no,yes
734,1901,BULKD,yes,BRANDON EDMONTON BP,HUSKY,(780)413-1826,(780)466-1554,BRANDON EDMONTON BP,3515 76 AVE,EDMONTON,AB,T6B 2S8,yes,,,yes,no,no,,no,,,no,no,Husky Route Commander,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,19,ALT02,no,MS000,no,no,no,627711,R3,E30,E15,879886364RT,,E15,,,,,100;103;104;105;121;131;135;136;154;164;173;174;175;9105;9131;9136;9154;9175;,53.511749,-113.395564,no,yes
736,342,SSERV,yes,BRANDON HUSKY TC,HUSKY,(204)728-7387,             ,BRANDON HUSKY TC,1990 HWY 1 & 18 ST N,BRANDON,MB,R7A 6Y9,yes,,,yes,yes,no,,no,,,no,no,Husky Route Commander,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,3,ALT01,no,MS009,no,yes,no,667911,R7,E30,,843194473RT,,,,,,,,49.86085305,-99.96182635,no,no
756,1909,BULKD,no,BOSTON BAR HUSKY,HUSKY,(604)867-9288,(604)867-9742,BOSTON BAR HUSKY,48165 TRANS CANADA HWY,BOSTON BAR,BC,V0K 1C0,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no,19,ALT09,yes,MS000,no,?,no,519104,R2,PREPAY,,820989671RT,,,,,,,,49.964243,-121.404625,yes,no
758,112,NOINC,no,LAND ONLY,HUSKY,(111)111-1111,             ,LAND ONLY,BC ENVIR SITE MONITOR,CALGARY,AB,T2P 3G7,?,0,2400,no,?,?,,?,,,?,?,,?,?,no,no,no,no,?,no,no,no,no,no,?,no,1,ALT09,yes,MS003,no,?,no,HOMKTG,R6,DUENOW,,807119482RT,mmgov-only,,,,,,,0,0,yes,no
826,223,SSERV,yes,WESTMOUNT HUSKY,HUSKY,(519)741-1026,             ,WESTMOUNT HUSKY,720 VICTORIA ST S,KITCHENER,ON,N2M 3B4,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,2,ALT04,no,MS018,no,yes,yes,668010,R7,E30,CONS,752033126RT,,ERNT,104;173;175;,;;;, 1.00; 1.00; 1.00;,;;;,104;173;175;,43.43972,-80.521677,yes,no
831,224,SSERV,yes,ALLISTON HUSKY,HUSKY,(705)434-0734,(705)434-4763,ALLISTON HUSKY,514 VICTORIA ST E,ALLISTON,ON,L9R 1K1,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,2,ALT04,no,MS010,no,yes,yes,667894,R8,E30,CONS,819961939RT,,ERNT,104;131;173;175;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,104;131;173;175;,44.15972,-79.843611,yes,no
861,223,SSERV,no,PATTON HUSKY,HUSKY,(905)309-6087,(905)309-6087,PATTON HUSKY,2 LIVINGSTON AVE,GRIMSBY,ON,L3M 1K5,no,600,2100,yes,no,yes,2,no,,,no,no,,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,2,ALT09,no,MS020,no,no,no,667920,R7,E30,,844333831RT,,ERNT,,,,,,43.195,-79.5655,yes,no
873,223,SSERV,no,WEBER HUSKY,HUSKY,(519)888-7222,(905)648-4726,WEBER HUSKY,417 KING ST N,WATERLOO,ON,N2J 2Z5,yes,,,yes,no,no,,yes,Touchless,,no,no,,no,no,no,no,no,no,no,no,no,no,yes,yes,no,?,2,ALT09,no,MS009,no,yes,no,667912,R7,E30,,898310552RT,,ERNT,,,,,,43.48528,-80.527222,yes,no
930,104,SSERV,yes,BURNS LAKE HUSKY MARKET,HUSKY,(250)692-3762,(250)692-3763,BURNS LAKE HUSKY MARKET,613 HWY 16,BURNSLAKE,BC,V0J 1E0,no,600,2300,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,1,ALT04,no,MS006,yes,yes,no,667873,R7,E30,CONS,835212549RT,,ERNT,104;131;173;175;9104;,;;;;;, 1.00; 1.00; 1.00; 1.00; 1.00;,;;;;;,104;131;173;175;9104;,54.23361,-125.764447,yes,no
1006,105,SSERV,yes,CAMPBELL RIVER HUSKY MARKET,HUSKY,(250)923-1133,(250)923-4531,CAMPBELL RIVER HUSKY MARKET,984 SOUTH ISLAND HWY,CAMPBELL RIVER,BC,V9W 1B1,no,600,2300,yes,no,no,,yes,Wand Wash,,no,no,,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,1,ALT04,no,MS014,yes,yes,yes,667923,R4,E30,CONS,835085929RT,,ERNT,103;104;105;131;9103;,;;;;;, 1.00; 1.00; 1.00; 1.00; 1.00;,;;;;;,103;104;105;131;9103;,49.98917,-125.226943,yes,no
1010,105,SSERV,yes,N CAMPBELL RIVER HUSKY,HUSKY,(778)346-2404,(778)346-2405,N CAMPBELL RIVER HUSKY,1830 ISLAND HWY N,CAMPBELL RIVER,BC,V9W 2G1,yes,,,yes,no,no,,no,,,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,1,ALT04,no,MS014,no,yes,no,667923,R4,E30,CONS,835085929RT,,ERNT,103;104;105;131;9104;,;;;;;, 1.00; 1.00; 1.00; 1.00; 1.00;,;;;;;,103;104;105;131;9104;,50.032723,-125.269442,yes,no
1020,105,SSERV,yes,COURTENAY HUSKY,HUSKY,(250)334-2811,(250)334-1061,COURTENAY HUSKY,2350 CLIFF AVE,COURTENAY,BC,V9N 2L6,no,600,2300,yes,no,no,,no,,,no,no,,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,1,ALT04,no,MS014,no,yes,yes,667923,R4,E30,CONS,835085929RT,,ERNT,104;131;173;175;9103;,;;;;;, 1.00; 1.00; 1.00; 1.00; 1.00;,;;;;;,104;131;173;175;9103;,49.67778,-124.983615,yes,no
1030,105,SSERV,yes,YALE RD HUSKY,HUSKY,(604)795-4981,(604)795-4981,YALE RD HUSKY,45900 YALE RD,CHILLIWACK,BC,V2P 2M3,no,630,2400,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,1,ALT04,yes,MS016,no,yes,no,884999,R4,E30,ECOD,867754228RT,,ERNT,,,,,104;131;154;175;,49.16662884,-121.9586994,yes,no
1051,221,SSERV,no,HUSKY RICHMOND RD,HUSKY,(403)313-8459,(403)313-2810,HUSKY RICHMOND RD,3716 RICHMOND RD SW,CALGARY,AB,T3E 4N9,yes,,,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,2,ALT10,no,MS003,no,yes,no,667875,R7,E30,CONS,846689289RT,,ERNT,105;131;173;174;,;;;;,;;;;,;;;;,105;131;173;174;,51.022745,-114.140916,yes,no
1052,232,FSERV,no,EDMONTON TR HUSKY,HUSKY,(403)277-5951,(403)230-8250,EDMONTON TR HUSKY,1211 EDMONTON TR,CALGARY,AB,T2M 0C8,no,700,2200,yes,no,no,,no,,,no,no,,no,no,no,no,no,no,?,no,no,no,no,no,no,no,2,ALT09,no,MS003,no,?,no,730739,R1,CC,,R102431616,,ERNT,,,,,,51.063289,-114.068796,yes,no
1077,105,SPISL,yes,IVY GREEN HUSKY,HUSKY,(250)245-5244,(250)924-2445,IVY GREEN HUSKY,12615 TRANS CANADA HWY,LADYSMITH,BC,V9G 1M5,no,600,2300,yes,no,no,,no,,,no,no,,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,1,ALT04,no,MS014,no,?,no,232413,R7,E30,ECOD,101151835RT,CERTIFICATE,,,,,,104;105;131;154;,49.015268,-123.852686,yes,no
1086,105,SSERV,yes,BOWEN CENTRE HUSKY,HUSKY,(250)758-1921,(250)758-1921,BOWEN CENTRE HUSKY,42 1925 BOWEN RD,NANAIMO,BC,V9S 1H1,no,600,2300,yes,no,no,,no,Wand Wash,Brush/Softcloth,no,no,,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,1,ALT04,no,MS014,no,yes,yes,667925,R4,E30,CONS,828896720RT,,ERNT,103;104;105;131;,;;;;, 1.00; 1.00; 1.00; 1.00;,;;;;,103;104;105;131;,49.186738,-123.985444,yes,no
